TULOS1	TULOS2
03:01	01:02
02:01	03:02
04:01	03:02
03:03	05:05
04:01	03:03
05:01	03:01
03:01	01:04
04:01	03:02
05:01	01:01
02:01	01:02
01:01	01:03
01:01	01:02
01:01	03:02
01:01	01:02
02:01	01:03
01:01	04:01
05:01	01:02
01:02	05:01
04:01	01:03
03:01	04:01
01:01	01:03
01:02	01:02
01:01	03:02
01:02	02:01
04:01	05:05
04:01	01:02
01:01	02:01
01:03	01:03
01:01	01:02
01:01	03:02
01:01	04:01
01:01	04:01
05:01	01:02
03:01	04:01
05:01	01:03
01:01	01:01
01:02	02:01
01:01	01:02
01:01	05:05
01:03	01:04
01:01	04:01
04:01	01:03
05:01	05:05
01:03	01:02
03:02	01:04
02:01	03:02
03:02	01:02
01:01	01:03
02:01	01:02
05:01	01:02
01:02	01:02
01:01	01:02
03:01	02:01
03:01	01:02
01:01	05:01
05:01	01:02
01:01	05:01
01:01	01:01
01:03	01:02
05:01	04:01
05:05	05:05
05:01	04:01
05:01	03:02
01:01	03:01
05:01	03:01
02:01	01:02
05:01	01:03
05:01	05:01
05:05	01:02
03:03	01:02
01:03	01:03
05:01	01:02
01:01	01:01
03:01	03:02
05:01	02:01
02:01	01:03
01:01	03:02
01:03	01:02
05:05	01:03
01:01	01:02
03:02	03:03
01:01	01:04
01:01	04:01
01:01	05:01
05:01	03:01
01:01	01:02
05:01	04:01
01:01	03:01
01:04	01:02
01:02	05:01
01:03	03:02
01:01	04:01
01:01	01:02
01:01	02:01
01:01	03:03
05:01	04:01
02:01	01:02
05:01	05:05
01:02	01:05
01:01	01:03
05:01	01:02
05:01	05:05
01:01	01:02
03:01	03:01
03:01	05:05
02:01	03:02
04:01	01:02
04:01	01:02
04:01	01:02
01:01	04:01
01:03	01:03
03:01	04:01
05:01	01:03
01:03	05:05
03:03	05:05
05:01	05:05
03:01	03:01
01:01	06:01
05:05	05:05
04:01	01:02
01:01	02:01
01:01	01:02
01:01	04:01
03:01	03:03
05:01	03:01
03:03	01:04
