"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"01:01"	919	0.109836261503526
"AxiomGT1_b01.calls"	"02:01"	2782	0.332496713278355
"AxiomGT1_b01.calls"	"02:02"	1	0.000119517150711127
"AxiomGT1_b01.calls"	"02:05"	11	0.0013146886578224
"AxiomGT1_b01.calls"	"03:01"	1891	0.226006931994741
"AxiomGT1_b01.calls"	"11:01"	327	0.0390821082825385
"AxiomGT1_b01.calls"	"23:01"	41	0.00490020317915621
"AxiomGT1_b01.calls"	"24:02"	715	0.0854547627584558
"AxiomGT1_b01.calls"	"25:01"	84	0.0100394406597347
"AxiomGT1_b01.calls"	"26:01"	131	0.0156567467431576
"AxiomGT1_b01.calls"	"29:01"	46	0.00549778893271184
"AxiomGT1_b01.calls"	"29:02"	28	0.00334648021991156
"AxiomGT1_b01.calls"	"30:01"	40	0.00478068602844508
"AxiomGT1_b01.calls"	"31:01"	365	0.0436237600095614
"AxiomGT1_b01.calls"	"32:01"	369	0.0441018286124059
"AxiomGT1_b01.calls"	"33:01"	8	0.000956137205689016
"AxiomGT1_b01.calls"	"33:03"	19	0.00227082586351141
"AxiomGT1_b01.calls"	"68:01"	587	0.0701565674674316
"AxiomGT1_b01.calls"	"69:01"	3	0.000358551452133381
"AxiomGT1_b02.calls"	"01:01"	798	0.0914613180515759
"AxiomGT1_b02.calls"	"02:01"	3018	0.345902578796562
"AxiomGT1_b02.calls"	"02:05"	15	0.00171919770773639
"AxiomGT1_b02.calls"	"03:01"	2112	0.242063037249284
"AxiomGT1_b02.calls"	"11:01"	355	0.0406876790830946
"AxiomGT1_b02.calls"	"23:01"	34	0.00389684813753582
"AxiomGT1_b02.calls"	"24:02"	805	0.0922636103151862
"AxiomGT1_b02.calls"	"25:01"	94	0.0107736389684814
"AxiomGT1_b02.calls"	"26:01"	145	0.0166189111747851
"AxiomGT1_b02.calls"	"29:01"	27	0.0030945558739255
"AxiomGT1_b02.calls"	"29:02"	20	0.00229226361031519
"AxiomGT1_b02.calls"	"30:01"	23	0.00263610315186246
"AxiomGT1_b02.calls"	"31:01"	367	0.0420630372492837
"AxiomGT1_b02.calls"	"32:01"	327	0.0374785100286533
"AxiomGT1_b02.calls"	"33:01"	3	0.000343839541547278
"AxiomGT1_b02.calls"	"33:03"	9	0.00103151862464183
"AxiomGT1_b02.calls"	"68:01"	566	0.0648710601719198
"AxiomGT1_b02.calls"	"69:01"	7	0.000802292263610315
"AxiomGT1_b03.calls"	"01:01"	825	0.0938673341677096
"AxiomGT1_b03.calls"	"02:01"	2884	0.328137444532939
"AxiomGT1_b03.calls"	"02:05"	6	0.000682671521219706
"AxiomGT1_b03.calls"	"02:17"	1	0.000113778586869951
"AxiomGT1_b03.calls"	"03:01"	2270	0.258277392194789
"AxiomGT1_b03.calls"	"11:01"	377	0.0428945272499716
"AxiomGT1_b03.calls"	"23:01"	28	0.00318580043235863
"AxiomGT1_b03.calls"	"24:02"	823	0.0936397769939697
"AxiomGT1_b03.calls"	"25:01"	124	0.0141085447718739
"AxiomGT1_b03.calls"	"26:01"	145	0.0164978950961429
"AxiomGT1_b03.calls"	"29:01"	22	0.00250312891113892
"AxiomGT1_b03.calls"	"29:02"	27	0.00307202184548868
"AxiomGT1_b03.calls"	"30:01"	22	0.00250312891113892
"AxiomGT1_b03.calls"	"31:01"	358	0.0407327340994425
"AxiomGT1_b03.calls"	"32:01"	337	0.0383433837751735
"AxiomGT1_b03.calls"	"33:01"	14	0.00159290021617932
"AxiomGT1_b03.calls"	"33:03"	12	0.00136534304243941
"AxiomGT1_b03.calls"	"68:01"	508	0.0577995221299351
"AxiomGT1_b03.calls"	"68167"	1	0.000113778586869951
"AxiomGT1_b03.calls"	"69:01"	5	0.000568892934349755
"AxiomGT1_b04.calls"	"01:01"	741	0.0947085889570552
"AxiomGT1_b04.calls"	"02:01"	2702	0.345347648261759
"AxiomGT1_b04.calls"	"02:02"	2	0.000255623721881391
"AxiomGT1_b04.calls"	"02:05"	6	0.000766871165644172
"AxiomGT1_b04.calls"	"03:01"	1906	0.243609406952965
"AxiomGT1_b04.calls"	"11:01"	329	0.0420501022494888
"AxiomGT1_b04.calls"	"23:01"	19	0.00242842535787321
"AxiomGT1_b04.calls"	"24:02"	701	0.0895961145194274
"AxiomGT1_b04.calls"	"25:01"	97	0.0123977505112474
"AxiomGT1_b04.calls"	"26:01"	131	0.0167433537832311
"AxiomGT1_b04.calls"	"29:01"	23	0.00293967280163599
