"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"07:02"	1249	0.148903195040534
"AxiomGT1_b01.calls"	"08:01"	840	0.100143061516452
"AxiomGT1_b01.calls"	"13:02"	212	0.0252742012398665
"AxiomGT1_b01.calls"	"14:01"	8	0.000953743443013829
"AxiomGT1_b01.calls"	"14:02"	17	0.00202670481640439
"AxiomGT1_b01.calls"	"15:01"	1019	0.121483071053887
"AxiomGT1_b01.calls"	"15:17"	3	0.000357653791130186
"AxiomGT1_b01.calls"	"18:01"	422	0.0503099666189795
"AxiomGT1_b01.calls"	"27:02"	7	0.000834525512637101
"AxiomGT1_b01.calls"	"27:05"	697	0.0830948974725799
"AxiomGT1_b01.calls"	"35:01"	864	0.103004291845494
"AxiomGT1_b01.calls"	"35:02"	2	0.000238435860753457
"AxiomGT1_b01.calls"	"35:03"	5	0.000596089651883643
"AxiomGT1_b01.calls"	"35:08"	25	0.00298044825941822
"AxiomGT1_b01.calls"	"37:01"	106	0.0126371006199332
"AxiomGT1_b01.calls"	"38:01"	94	0.0112064854554125
"AxiomGT1_b01.calls"	"39:01"	226	0.0269432522651407
"AxiomGT1_b01.calls"	"39:06"	6	0.000715307582260372
"AxiomGT1_b01.calls"	"39:24"	10	0.00119217930376729
"AxiomGT1_b01.calls"	"40:01"	461	0.0549594659036719
"AxiomGT1_b01.calls"	"40:02"	175	0.0208631378159275
"AxiomGT1_b01.calls"	"41:01"	45	0.00536480686695279
"AxiomGT1_b01.calls"	"41:02"	7	0.000834525512637101
"AxiomGT1_b01.calls"	"44:02"	741	0.0883404864091559
"AxiomGT1_b01.calls"	"44:03"	70	0.00834525512637101
"AxiomGT1_b01.calls"	"44:27"	34	0.00405340963280877
"AxiomGT1_b01.calls"	"45:01"	6	0.000715307582260372
"AxiomGT1_b01.calls"	"47:01"	60	0.00715307582260372
"AxiomGT1_b01.calls"	"49:01"	13	0.00154983309489747
"AxiomGT1_b01.calls"	"50:01"	7	0.000834525512637101
"AxiomGT1_b01.calls"	"51:01"	543	0.0647353361945637
"AxiomGT1_b01.calls"	"52:01"	2	0.000238435860753457
"AxiomGT1_b01.calls"	"55:01"	60	0.00715307582260372
"AxiomGT1_b01.calls"	"56:01"	185	0.0220553171196948
"AxiomGT1_b01.calls"	"57:01"	142	0.0169289461134955
"AxiomGT1_b01.calls"	"58:01"	25	0.00298044825941822
"AxiomGT1_b02.calls"	"07:02"	1204	0.137931034482759
"AxiomGT1_b02.calls"	"08:01"	755	0.0864932982013976
"AxiomGT1_b02.calls"	"13:02"	260	0.0297857715660442
"AxiomGT1_b02.calls"	"14:01"	8	0.000916485278955207
"AxiomGT1_b02.calls"	"14:02"	16	0.00183297055791041
"AxiomGT1_b02.calls"	"15:01"	1078	0.123496391339214
"AxiomGT1_b02.calls"	"15:17"	6	0.000687363959216405
"AxiomGT1_b02.calls"	"18:01"	478	0.0547599954175736
"AxiomGT1_b02.calls"	"27:02"	4	0.000458242639477603
"AxiomGT1_b02.calls"	"27:05"	707	0.0809943865276664
"AxiomGT1_b02.calls"	"35:01"	1112	0.127391453774774
"AxiomGT1_b02.calls"	"35:02"	2	0.000229121319738802
"AxiomGT1_b02.calls"	"35:03"	9	0.00103104593882461
"AxiomGT1_b02.calls"	"35:08"	27	0.00309313781647382
"AxiomGT1_b02.calls"	"37:01"	90	0.0103104593882461
"AxiomGT1_b02.calls"	"38:01"	102	0.0116851873066789
"AxiomGT1_b02.calls"	"39:01"	316	0.0362011685187307
"AxiomGT1_b02.calls"	"39:06"	7	0.000801924619085806
"AxiomGT1_b02.calls"	"39:24"	7	0.000801924619085806
"AxiomGT1_b02.calls"	"40:01"	471	0.0539580707984878
"AxiomGT1_b02.calls"	"40:02"	217	0.02485966319166
"AxiomGT1_b02.calls"	"41:01"	27	0.00309313781647382
"AxiomGT1_b02.calls"	"41:02"	15	0.00171840989804101
"AxiomGT1_b02.calls"	"44:02"	619	0.0709130484591591
"AxiomGT1_b02.calls"	"44:03"	76	0.00870661015007447
"AxiomGT1_b02.calls"	"44:27"	58	0.00664451827242525
"AxiomGT1_b02.calls"	"45:01"	9	0.00103104593882461
"AxiomGT1_b02.calls"	"47:01"	69	0.00790468553098866
"AxiomGT1_b02.calls"	"49:01"	9	0.00103104593882461
"AxiomGT1_b02.calls"	"50:01"	12	0.00137472791843281
"AxiomGT1_b02.calls"	"51:01"	550	0.0630083629281705
"AxiomGT1_b02.calls"	"52:01"	7	0.000801924619085806
"AxiomGT1_b02.calls"	"55:01"	53	0.00607171497307825
"AxiomGT1_b02.calls"	"56:01"	205	0.0234849352732272
"AxiomGT1_b02.calls"	"57:01"	124	0.0142055218238057
"AxiomGT1_b02.calls"	"58:01"	20	0.00229121319738802
"AxiomGT1_b03.calls"	"07:02"	1140	0.12991452991453
"AxiomGT1_b03.calls"	"08:01"	819	0.0933333333333333
"AxiomGT1_b03.calls"	"13:02"	259	0.0295156695156695
"AxiomGT1_b03.calls"	"14:01"	10	0.00113960113960114
"AxiomGT1_b03.calls"	"14:02"	35	0.00398860398860399
"AxiomGT1_b03.calls"	"15:01"	1089	0.124102564102564
"AxiomGT1_b03.calls"	"15:17"	8	0.000911680911680912
"AxiomGT1_b03.calls"	"18:01"	503	0.0573219373219373
"AxiomGT1_b03.calls"	"27:02"	16	0.00182336182336182
"AxiomGT1_b03.calls"	"27:05"	688	0.0784045584045584
"AxiomGT1_b03.calls"	"35:01"	1222	0.139259259259259
"AxiomGT1_b03.calls"	"35:02"	8	0.000911680911680912
"AxiomGT1_b03.calls"	"35:03"	9	0.00102564102564103
"AxiomGT1_b03.calls"	"35:08"	17	0.00193732193732194
"AxiomGT1_b03.calls"	"37:01"	64	0.00729344729344729
"AxiomGT1_b03.calls"	"38:01"	75	0.00854700854700855
"AxiomGT1_b03.calls"	"39:01"	329	0.0374928774928775
"AxiomGT1_b03.calls"	"39:06"	3	0.000341880341880342
"AxiomGT1_b03.calls"	"39:24"	6	0.000683760683760684
"AxiomGT1_b03.calls"	"40:01"	569	0.0648433048433048
"AxiomGT1_b03.calls"	"40:02"	245	0.0279202279202279
"AxiomGT1_b03.calls"	"41:01"	19	0.00216524216524217
"AxiomGT1_b03.calls"	"41:02"	16	0.00182336182336182
"AxiomGT1_b03.calls"	"44:02"	544	0.061994301994302
"AxiomGT1_b03.calls"	"44:03"	73	0.00831908831908832
"AxiomGT1_b03.calls"	"44:27"	58	0.00660968660968661
"AxiomGT1_b03.calls"	"45:01"	14	0.0015954415954416
"AxiomGT1_b03.calls"	"47:01"	73	0.00831908831908832
"AxiomGT1_b03.calls"	"49:01"	10	0.00113960113960114
"AxiomGT1_b03.calls"	"50:01"	7	0.000797720797720798
"AxiomGT1_b03.calls"	"51:01"	508	0.0578917378917379
"AxiomGT1_b03.calls"	"52:01"	7	0.000797720797720798
"AxiomGT1_b03.calls"	"55:01"	33	0.00376068376068376
"AxiomGT1_b03.calls"	"56:01"	170	0.0193732193732194
"AxiomGT1_b03.calls"	"57:01"	110	0.0125356125356125
"AxiomGT1_b03.calls"	"58:01"	19	0.00216524216524217
"AxiomGT1_b04.calls"	"07:02"	1058	0.135450006401229
"AxiomGT1_b04.calls"	"08:01"	772	0.0988349763154526
"AxiomGT1_b04.calls"	"13:02"	208	0.0266291127896556
"AxiomGT1_b04.calls"	"14:01"	7	0.000896172065036487
"AxiomGT1_b04.calls"	"14:02"	26	0.00332863909870695
"AxiomGT1_b04.calls"	"15:01"	933	0.119446933811292
"AxiomGT1_b04.calls"	"15:17"	7	0.000896172065036487
"AxiomGT1_b04.calls"	"18:01"	366	0.0468569965433363
"AxiomGT1_b04.calls"	"27:02"	13	0.00166431954935348
"AxiomGT1_b04.calls"	"27:05"	687	0.0879528869542952
"AxiomGT1_b04.calls"	"35:01"	1027	0.131481244398925
"AxiomGT1_b04.calls"	"35:02"	8	0.00102419664575599
"AxiomGT1_b04.calls"	"35:03"	6	0.000768147484316989
"AxiomGT1_b04.calls"	"35:08"	34	0.00435283574446294
"AxiomGT1_b04.calls"	"37:01"	49	0.00627320445525541
"AxiomGT1_b04.calls"	"38:01"	56	0.0071693765202919
"AxiomGT1_b04.calls"	"39:01"	330	0.0422481116374344
"AxiomGT1_b04.calls"	"39:06"	4	0.000512098322877993
"AxiomGT1_b04.calls"	"39:24"	7	0.000896172065036487
"AxiomGT1_b04.calls"	"40:01"	505	0.0646524132633466
"AxiomGT1_b04.calls"	"40:02"	193	0.0247087440788631
"AxiomGT1_b04.calls"	"41:01"	16	0.00204839329151197
"AxiomGT1_b04.calls"	"41:02"	21	0.00268851619510946
"AxiomGT1_b04.calls"	"44:02"	454	0.0581231596466522
"AxiomGT1_b04.calls"	"44:03"	68	0.00870567148892587
"AxiomGT1_b04.calls"	"44:27"	63	0.00806554858532838
