"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"01:02"	612	0.0725720384204909
"AxiomGT1_b01.calls"	"02:02"	498	0.0590537175382426
"AxiomGT1_b01.calls"	"03:02"	23	0.00272738052887466
"AxiomGT1_b01.calls"	"03:03"	652	0.0773153089054903
"AxiomGT1_b01.calls"	"03:04"	973	0.115380054547611
"AxiomGT1_b01.calls"	"04:01"	1109	0.131507174196609
"AxiomGT1_b01.calls"	"05:01"	708	0.0839558875844895
"AxiomGT1_b01.calls"	"06:02"	533	0.0632040792126171
"AxiomGT1_b01.calls"	"07:01"	1156	0.137080517016483
"AxiomGT1_b01.calls"	"07:02"	1282	0.152021819044231
"AxiomGT1_b01.calls"	"07:04"	171	0.0202774813233725
"AxiomGT1_b01.calls"	"08:02"	20	0.0023716352424997
"AxiomGT1_b01.calls"	"12:02"	2	0.00023716352424997
"AxiomGT1_b01.calls"	"12:03"	262	0.0310684216767461
"AxiomGT1_b01.calls"	"14:02"	170	0.0201588995612475
"AxiomGT1_b01.calls"	"15:02"	191	0.0226491165658722
"AxiomGT1_b01.calls"	"15:05"	1	0.000118581762124985
"AxiomGT1_b01.calls"	"16:01"	19	0.00225305348037472
"AxiomGT1_b01.calls"	"17:01"	45	0.00533617929562433
"AxiomGT1_b01.calls"	"17:03"	6	0.000711490572749911
"AxiomGT1_b02.calls"	"01:02"	632	0.0720392112162316
"AxiomGT1_b02.calls"	"02:02"	513	0.0584748660663399
"AxiomGT1_b02.calls"	"03:02"	21	0.00239370796762795
"AxiomGT1_b02.calls"	"03:03"	683	0.0778525019947566
"AxiomGT1_b02.calls"	"03:04"	999	0.113872107602872
"AxiomGT1_b02.calls"	"04:01"	1383	0.157642767582355
"AxiomGT1_b02.calls"	"05:01"	579	0.0659979482503135
"AxiomGT1_b02.calls"	"06:02"	574	0.0654280177818306
"AxiomGT1_b02.calls"	"07:01"	1086	0.123788897754474
"AxiomGT1_b02.calls"	"07:02"	1312	0.149549754929899
"AxiomGT1_b02.calls"	"07:04"	187	0.0213153995212584
"AxiomGT1_b02.calls"	"08:02"	15	0.00170979140544854
"AxiomGT1_b02.calls"	"12:02"	6	0.000683916562179414
"AxiomGT1_b02.calls"	"12:03"	332	0.0378433831072609
"AxiomGT1_b02.calls"	"14:02"	142	0.0161860253049128
"AxiomGT1_b02.calls"	"15:02"	242	0.0275846346745697
"AxiomGT1_b02.calls"	"15:05"	2	0.000227972187393138
"AxiomGT1_b02.calls"	"16:01"	24	0.00273566624871766
"AxiomGT1_b02.calls"	"17:01"	27	0.00307762452980736
