"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"01:01"	437	0.0518018018018018
"AxiomGT1_b01.calls"	"02:01"	1268	0.150308202939782
"AxiomGT1_b01.calls"	"02:02"	38	0.0045045045045045
"AxiomGT1_b01.calls"	"03:01"	1019	0.120791844476055
"AxiomGT1_b01.calls"	"04:01"	3734	0.442626837363679
"AxiomGT1_b01.calls"	"04:02"	1348	0.159791370317686
"AxiomGT1_b01.calls"	"05:01"	163	0.0193219535324798
"AxiomGT1_b01.calls"	"06:01"	6	0.000711237553342817
"AxiomGT1_b01.calls"	"10:01"	8	0.000948316737790422
"AxiomGT1_b01.calls"	"105:01"	10	0.00118539592223803
"AxiomGT1_b01.calls"	"11:01"	13	0.00154101469890944
"AxiomGT1_b01.calls"	"13:01"	33	0.00391180654338549
"AxiomGT1_b01.calls"	"14:01"	154	0.0182550972024656
"AxiomGT1_b01.calls"	"15:01"	45	0.00533428165007112
"AxiomGT1_b01.calls"	"16:01"	35	0.0041488857278331
"AxiomGT1_b01.calls"	"17:01"	38	0.0045045045045045
"AxiomGT1_b01.calls"	"19:01"	34	0.00403034613560929
"AxiomGT1_b01.calls"	"20:01"	53	0.00628259838786155
"AxiomGT1_b02.calls"	"01:01"	458	0.0521283860687457
"AxiomGT1_b02.calls"	"02:01"	1295	0.147393580696563
"AxiomGT1_b02.calls"	"02:02"	17	0.00193489642613248
"AxiomGT1_b02.calls"	"03:01"	1136	0.129296608240382
"AxiomGT1_b02.calls"	"04:01"	3674	0.418165262918279
"AxiomGT1_b02.calls"	"04:02"	1634	0.185977691782381
"AxiomGT1_b02.calls"	"05:01"	195	0.0221944001821079
"AxiomGT1_b02.calls"	"06:01"	5	0.000569087184156613
"AxiomGT1_b02.calls"	"10:01"	10	0.00113817436831323
"AxiomGT1_b02.calls"	"105:01"	12	0.00136580924197587
"AxiomGT1_b02.calls"	"11:01"	11	0.00125199180514455
"AxiomGT1_b02.calls"	"13:01"	28	0.00318688823127703
"AxiomGT1_b02.calls"	"14:01"	116	0.0132028226724334
"AxiomGT1_b02.calls"	"15:01"	46	0.00523560209424084
"AxiomGT1_b02.calls"	"16:01"	39	0.00443888003642158
"AxiomGT1_b02.calls"	"17:01"	28	0.00318688823127703
"AxiomGT1_b02.calls"	"19:01"	38	0.00432506259959026
"AxiomGT1_b02.calls"	"20:01"	44	0.00500796722057819
"AxiomGT1_b03.calls"	"01:01"	519	0.058843537414966
"AxiomGT1_b03.calls"	"02:01"	1238	0.140362811791383
"AxiomGT1_b03.calls"	"02:02"	7	0.000793650793650794
"AxiomGT1_b03.calls"	"03:01"	1171	0.132766439909297
"AxiomGT1_b03.calls"	"04:01"	3496	0.396371882086168
"AxiomGT1_b03.calls"	"04:02"	1778	0.201587301587302
"AxiomGT1_b03.calls"	"05:01"	192	0.0217687074829932
"AxiomGT1_b03.calls"	"06:01"	2	0.000226757369614512
"AxiomGT1_b03.calls"	"10:01"	14	0.00158730158730159
"AxiomGT1_b03.calls"	"105:01"	20	0.00226757369614512
"AxiomGT1_b03.calls"	"11:01"	16	0.0018140589569161
"AxiomGT1_b03.calls"	"13:01"	30	0.00340136054421769
"AxiomGT1_b03.calls"	"14:01"	119	0.0134920634920635
"AxiomGT1_b03.calls"	"15:01"	42	0.00476190476190476
"AxiomGT1_b03.calls"	"16:01"	50	0.00566893424036281
"AxiomGT1_b03.calls"	"17:01"	32	0.0036281179138322
"AxiomGT1_b03.calls"	"19:01"	37	0.00419501133786848
"AxiomGT1_b03.calls"	"20:01"	57	0.00646258503401361
"AxiomGT1_b04.calls"	"01:01"	466	0.0593479368313805
