"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"01:01"	1325	0.157064959696539
"AxiomGT1_b01.calls"	"01:02"	1724	0.204362256993836
"AxiomGT1_b01.calls"	"01:03"	839	0.0994547178757705
"AxiomGT1_b01.calls"	"01:04"	149	0.0176623992413466
"AxiomGT1_b01.calls"	"01:05"	123	0.0145803698435277
"AxiomGT1_b01.calls"	"02:01"	524	0.0621147463252726
"AxiomGT1_b01.calls"	"03:01"	1022	0.121147463252726
"AxiomGT1_b01.calls"	"03:02"	290	0.0343764817449028
"AxiomGT1_b01.calls"	"03:03"	282	0.0334281650071124
"AxiomGT1_b01.calls"	"04:01"	660	0.0782361308677098
"AxiomGT1_b01.calls"	"05:01"	963	0.114153627311522
"AxiomGT1_b01.calls"	"05:05"	529	0.0627074442863917
"AxiomGT1_b01.calls"	"05:09"	1	0.000118539592223803
"AxiomGT1_b01.calls"	"06:01"	5	0.000592697961119014
"AxiomGT1_b02.calls"	"01:01"	1550	0.17641702708855
"AxiomGT1_b02.calls"	"01:02"	1667	0.189733667197815
"AxiomGT1_b02.calls"	"01:03"	809	0.09207830639654
"AxiomGT1_b02.calls"	"01:04"	116	0.0132028226724334
"AxiomGT1_b02.calls"	"01:05"	97	0.0110402913726383
"AxiomGT1_b02.calls"	"02:01"	528	0.0600956066469383
"AxiomGT1_b02.calls"	"03:01"	1006	0.114500341452311
"AxiomGT1_b02.calls"	"03:02"	391	0.0445026178010471
"AxiomGT1_b02.calls"	"03:03"	271	0.0308445253812884
"AxiomGT1_b02.calls"	"04:01"	810	0.0921921238333713
"AxiomGT1_b02.calls"	"05:01"	878	0.0999317095379012
"AxiomGT1_b02.calls"	"05:05"	656	0.0746642385613476
"AxiomGT1_b02.calls"	"06:01"	7	0.000796722057819258
"AxiomGT1_b03.calls"	"01:01"	1713	0.19421768707483
"AxiomGT1_b03.calls"	"01:02"	1611	0.18265306122449
"AxiomGT1_b03.calls"	"01:03"	750	0.0850340136054422
"AxiomGT1_b03.calls"	"01:04"	103	0.0116780045351474
"AxiomGT1_b03.calls"	"01:05"	75	0.00850340136054422
"AxiomGT1_b03.calls"	"02:01"	487	0.0552154195011338
"AxiomGT1_b03.calls"	"03:01"	1047	0.118707482993197
"AxiomGT1_b03.calls"	"03:02"	369	0.0418367346938776
"AxiomGT1_b03.calls"	"03:03"	255	0.0289115646258503
"AxiomGT1_b03.calls"	"04:01"	857	0.0971655328798186
"AxiomGT1_b03.calls"	"05:01"	872	0.0988662131519274
"AxiomGT1_b03.calls"	"05:05"	673	0.0763038548752834
"AxiomGT1_b03.calls"	"05:09"	2	0.000226757369614512
"AxiomGT1_b03.calls"	"06:01"	6	0.000680272108843537
"AxiomGT1_b04.calls"	"01:01"	1496	0.190524707080998
"AxiomGT1_b04.calls"	"01:02"	1450	0.184666327050433
"AxiomGT1_b04.calls"	"01:03"	631	0.0803616912888436
"AxiomGT1_b04.calls"	"01:04"	81	0.0103158430973001
"AxiomGT1_b04.calls"	"01:05"	59	0.00751400916963831
"AxiomGT1_b04.calls"	"02:01"	439	0.0559093224656139
"AxiomGT1_b04.calls"	"03:01"	883	0.112455425369333
"AxiomGT1_b04.calls"	"03:02"	329	0.0419001528273051
"AxiomGT1_b04.calls"	"03:03"	251	0.0319663779928681
"AxiomGT1_b04.calls"	"04:01"	778	0.0990830361691289
"AxiomGT1_b04.calls"	"05:01"	835	0.106342333163525
"AxiomGT1_b04.calls"	"05:05"	610	0.0776872134488028
"AxiomGT1_b04.calls"	"06:01"	10	0.00127356087620988
"AxiomGT1_b05.calls"	"01:01"	856	0.186086956521739
"AxiomGT1_b05.calls"	"01:02"	878	0.190869565217391
"AxiomGT1_b05.calls"	"01:03"	411	0.0893478260869565
"AxiomGT1_b05.calls"	"01:04"	55	0.0119565217391304
"AxiomGT1_b05.calls"	"01:05"	45	0.00978260869565217
"AxiomGT1_b05.calls"	"02:01"	262	0.0569565217391304
"AxiomGT1_b05.calls"	"03:01"	522	0.113478260869565
"AxiomGT1_b05.calls"	"03:02"	182	0.0395652173913043
"AxiomGT1_b05.calls"	"03:03"	129	0.0280434782608696
"AxiomGT1_b05.calls"	"04:01"	439	0.0954347826086957
"AxiomGT1_b05.calls"	"05:01"	460	0.1
"AxiomGT1_b05.calls"	"05:05"	351	0.076304347826087
"AxiomGT1_b05.calls"	"06:01"	10	0.00217391304347826
"AxiomGT1_b06.calls"	"01:01"	1216	0.180415430267062
"AxiomGT1_b06.calls"	"01:02"	1308	0.19406528189911
"AxiomGT1_b06.calls"	"01:03"	552	0.0818991097922849
"AxiomGT1_b06.calls"	"01:04"	87	0.0129080118694362
"AxiomGT1_b06.calls"	"01:05"	66	0.00979228486646884
"AxiomGT1_b06.calls"	"02:01"	388	0.057566765578635
"AxiomGT1_b06.calls"	"03:01"	775	0.114985163204748
"AxiomGT1_b06.calls"	"03:02"	276	0.0409495548961424
"AxiomGT1_b06.calls"	"03:03"	208	0.0308605341246291
"AxiomGT1_b06.calls"	"04:01"	617	0.0915430267062314
"AxiomGT1_b06.calls"	"05:01"	657	0.0974777448071217
"AxiomGT1_b06.calls"	"05:05"	580	0.086053412462908
"AxiomGT1_b06.calls"	"05:09"	1	0.000148367952522255
"AxiomGT1_b06.calls"	"06:01"	9	0.0013353115727003
"AxiomGT1_b07.calls"	"01:01"	649	0.187680740312319
"AxiomGT1_b07.calls"	"01:02"	693	0.200404858299595
"AxiomGT1_b07.calls"	"01:03"	316	0.0913823019086177
"AxiomGT1_b07.calls"	"01:04"	23	0.00665124349334876
"AxiomGT1_b07.calls"	"01:05"	24	0.00694042799305957
"AxiomGT1_b07.calls"	"02:01"	187	0.0540775014459225
"AxiomGT1_b07.calls"	"03:01"	397	0.114806246385194
"AxiomGT1_b07.calls"	"03:02"	146	0.0422209369577791
"AxiomGT1_b07.calls"	"03:03"	83	0.0240023134759977
"AxiomGT1_b07.calls"	"04:01"	345	0.0997686524002313
"AxiomGT1_b07.calls"	"05:01"	331	0.0957200694042799
"AxiomGT1_b07.calls"	"05:05"	260	0.075187969924812
"AxiomGT1_b07.calls"	"05:09"	1	0.000289184499710815
"AxiomGT1_b07.calls"	"06:01"	3	0.000867553499132446
"AxiomGT1_b08.calls"	"01:01"	1287	0.179899357003075
"AxiomGT1_b08.calls"	"01:02"	1177	0.164523343584009
"AxiomGT1_b08.calls"	"01:03"	564	0.0788370142577579
"AxiomGT1_b08.calls"	"01:04"	75	0.0104836455129997
"AxiomGT1_b08.calls"	"01:05"	53	0.00740844282918647
"AxiomGT1_b08.calls"	"02:01"	422	0.0589879787531451
"AxiomGT1_b08.calls"	"03:01"	1109	0.155018171652223
"AxiomGT1_b08.calls"	"03:02"	313	0.0437517472742522
"AxiomGT1_b08.calls"	"03:03"	236	0.0329885378809058
"AxiomGT1_b08.calls"	"04:01"	659	0.0921162985742242
"AxiomGT1_b08.calls"	"05:01"	781	0.10916969527537
"AxiomGT1_b08.calls"	"05:05"	476	0.0665362035225049
"AxiomGT1_b08.calls"	"06:01"	2	0.000279563880346659
"AxiomGT1_b09.calls"	"01:01"	1419	0.169940119760479
"AxiomGT1_b09.calls"	"01:02"	1168	0.139880239520958
"AxiomGT1_b09.calls"	"01:03"	555	0.0664670658682635
"AxiomGT1_b09.calls"	"01:04"	84	0.010059880239521
"AxiomGT1_b09.calls"	"01:05"	59	0.00706586826347305
"AxiomGT1_b09.calls"	"02:01"	390	0.0467065868263473
"AxiomGT1_b09.calls"	"03:01"	1762	0.211017964071856
"AxiomGT1_b09.calls"	"03:02"	345	0.0413173652694611
"AxiomGT1_b09.calls"	"03:03"	224	0.0268263473053892
"AxiomGT1_b09.calls"	"04:01"	784	0.0938922155688623
"AxiomGT1_b09.calls"	"05:01"	1063	0.127305389221557
"AxiomGT1_b09.calls"	"05:05"	495	0.0592814371257485
"AxiomGT1_b09.calls"	"06:01"	2	0.000239520958083832
"AxiomGT1_b10.calls"	"01:01"	1137	0.158224325076538
"AxiomGT1_b10.calls"	"01:02"	1033	0.14375173949346
"AxiomGT1_b10.calls"	"01:03"	494	0.0687447815196215
"AxiomGT1_b10.calls"	"01:04"	60	0.00834956860562204
"AxiomGT1_b10.calls"	"01:05"	39	0.00542721959365433
"AxiomGT1_b10.calls"	"02:01"	358	0.0498190926802115
"AxiomGT1_b10.calls"	"03:01"	1464	0.203729473977178
"AxiomGT1_b10.calls"	"03:02"	312	0.0434177567492346
"AxiomGT1_b10.calls"	"03:03"	203	0.0282493737823546
"AxiomGT1_b10.calls"	"04:01"	686	0.095463401057612
"AxiomGT1_b10.calls"	"05:01"	985	0.137072084608962
"AxiomGT1_b10.calls"	"05:05"	402	0.0559421096576677
"AxiomGT1_b10.calls"	"05:09"	3	0.000417478430281102
"AxiomGT1_b10.calls"	"06:01"	10	0.00139159476760367
"AxiomGT1_b11.calls"	"01:01"	1228	0.182629387269482
"AxiomGT1_b11.calls"	"01:02"	1225	0.182183224271267
"AxiomGT1_b11.calls"	"01:03"	630	0.0936942296252231
"AxiomGT1_b11.calls"	"01:04"	74	0.0110053539559786
"AxiomGT1_b11.calls"	"01:05"	55	0.00817965496728138
"AxiomGT1_b11.calls"	"02:01"	357	0.0530933967876264
"AxiomGT1_b11.calls"	"03:01"	829	0.123289708506841
"AxiomGT1_b11.calls"	"03:02"	289	0.0429803688280785
"AxiomGT1_b11.calls"	"03:03"	198	0.029446757882213
"AxiomGT1_b11.calls"	"04:01"	703	0.104550862581797
"AxiomGT1_b11.calls"	"05:01"	630	0.0936942296252231
"AxiomGT1_b11.calls"	"05:05"	499	0.0742117787031529
"AxiomGT1_b11.calls"	"05:09"	1	0.000148720999405116
"AxiomGT1_b11.calls"	"06:01"	6	0.000892325996430696
"AxiomGT1_b12.calls"	"01:01"	403	0.179590017825312
"AxiomGT1_b12.calls"	"01:02"	306	0.136363636363636
"AxiomGT1_b12.calls"	"01:03"	172	0.0766488413547237
"AxiomGT1_b12.calls"	"01:04"	22	0.00980392156862745
"AxiomGT1_b12.calls"	"01:05"	14	0.00623885918003565
"AxiomGT1_b12.calls"	"02:01"	119	0.053030303030303
"AxiomGT1_b12.calls"	"03:01"	403	0.179590017825312
"AxiomGT1_b12.calls"	"03:02"	104	0.0463458110516934
"AxiomGT1_b12.calls"	"03:03"	62	0.0276292335115865
