"batch"	"allele2"	"n"	"batch.freq"
"AxiomGT1_b01.calls"	"01:01"	1296	0.153700189753321
"AxiomGT1_b01.calls"	"01:02"	14	0.00166034155597723
"AxiomGT1_b01.calls"	"01:03"	14	0.00166034155597723
"AxiomGT1_b01.calls"	"03:01"	965	0.114444971537002
"AxiomGT1_b01.calls"	"04:01"	817	0.096892789373814
"AxiomGT1_b01.calls"	"04:03"	9	0.0010673624288425
"AxiomGT1_b01.calls"	"04:04"	365	0.0432874762808349
"AxiomGT1_b01.calls"	"04:05"	2	0.00023719165085389
"AxiomGT1_b01.calls"	"04:07"	42	0.00498102466793169
"AxiomGT1_b01.calls"	"04:08"	73	0.00865749525616698
"AxiomGT1_b01.calls"	"07:01"	514	0.0609582542694497
"AxiomGT1_b01.calls"	"08:01"	649	0.0769686907020873
"AxiomGT1_b01.calls"	"08:02"	10	0.00118595825426945
"AxiomGT1_b01.calls"	"08:03"	5	0.000592979127134725
"AxiomGT1_b01.calls"	"09:01"	223	0.0264468690702087
"AxiomGT1_b01.calls"	"10:01"	126	0.0149430740037951
"AxiomGT1_b01.calls"	"11:01"	270	0.0320208728652751
"AxiomGT1_b01.calls"	"11:03"	18	0.00213472485768501
"AxiomGT1_b01.calls"	"11:04"	30	0.00355787476280835
"AxiomGT1_b01.calls"	"12:01"	156	0.0185009487666034
"AxiomGT1_b01.calls"	"13:01"	923	0.10946394686907
"AxiomGT1_b01.calls"	"13:02"	286	0.0339184060721063
"AxiomGT1_b01.calls"	"13:03"	27	0.00320208728652751
"AxiomGT1_b01.calls"	"14:01"	39	0.00462523719165085
"AxiomGT1_b01.calls"	"14:02"	15	0.00177893738140417
"AxiomGT1_b01.calls"	"14:54"	107	0.0126897533206831
"AxiomGT1_b01.calls"	"15:01"	1388	0.1646110056926
"AxiomGT1_b01.calls"	"15:02"	3	0.000355787476280835
"AxiomGT1_b01.calls"	"16:01"	46	0.00545540796963947
"AxiomGT1_b02.calls"	"01:01"	1530	0.174299384825701
"AxiomGT1_b02.calls"	"01:02"	13	0.00148097516518569
"AxiomGT1_b02.calls"	"01:03"	8	0.000911369332421964
"AxiomGT1_b02.calls"	"03:01"	882	0.100478468899522
"AxiomGT1_b02.calls"	"04:01"	783	0.0892002734107997
"AxiomGT1_b02.calls"	"04:03"	5	0.000569605832763727
"AxiomGT1_b02.calls"	"04:04"	381	0.043403964456596
"AxiomGT1_b02.calls"	"04:05"	1	0.000113921166552745
"AxiomGT1_b02.calls"	"04:07"	19	0.00216450216450216
"AxiomGT1_b02.calls"	"04:08"	97	0.0110503531556163
"AxiomGT1_b02.calls"	"07:01"	516	0.0587833219412167
"AxiomGT1_b02.calls"	"08:01"	796	0.0906812485759854
"AxiomGT1_b02.calls"	"08:02"	15	0.00170881749829118
"AxiomGT1_b02.calls"	"08:03"	6	0.000683526999316473
"AxiomGT1_b02.calls"	"09:01"	320	0.0364547732968786
"AxiomGT1_b02.calls"	"10:01"	100	0.0113921166552746
"AxiomGT1_b02.calls"	"11:01"	304	0.0346320346320346
"AxiomGT1_b02.calls"	"11:03"	9	0.00102529049897471
"AxiomGT1_b02.calls"	"11:04"	32	0.00364547732968786
"AxiomGT1_b02.calls"	"12:01"	222	0.0252904989747095
"AxiomGT1_b02.calls"	"13:01"	887	0.101048074732285
"AxiomGT1_b02.calls"	"13:02"	265	0.0301891091364776
"AxiomGT1_b02.calls"	"13:03"	39	0.00444292549555707
"AxiomGT1_b02.calls"	"14:01"	30	0.00341763499658236
"AxiomGT1_b02.calls"	"14:02"	25	0.00284802916381864
"AxiomGT1_b02.calls"	"14:54"	92	0.0104807473228526
"AxiomGT1_b02.calls"	"15:01"	1330	0.151515151515152
"AxiomGT1_b02.calls"	"15:02"	5	0.000569605832763727
"AxiomGT1_b02.calls"	"16:01"	66	0.0075187969924812
"AxiomGT1_b03.calls"	"01:01"	1684	0.190994669388681
"AxiomGT1_b03.calls"	"01:02"	22	0.00249517976636044
"AxiomGT1_b03.calls"	"01:03"	3	0.000340251786321878
"AxiomGT1_b03.calls"	"03:01"	878	0.099580356130203
"AxiomGT1_b03.calls"	"04:01"	769	0.0872178745605081
"AxiomGT1_b03.calls"	"04:03"	8	0.000907338096858342
"AxiomGT1_b03.calls"	"04:04"	406	0.0460474084155608
"AxiomGT1_b03.calls"	"04:05"	6	0.000680503572643756
"AxiomGT1_b03.calls"	"04:07"	6	0.000680503572643756
"AxiomGT1_b03.calls"	"04:08"	108	0.0122490643075876
"AxiomGT1_b03.calls"	"07:01"	488	0.0553476239083589
"AxiomGT1_b03.calls"	"08:01"	844	0.0957241692185551
"AxiomGT1_b03.calls"	"08:02"	10	0.00113417262107293
"AxiomGT1_b03.calls"	"08:03"	6	0.000680503572643756
"AxiomGT1_b03.calls"	"09:01"	300	0.0340251786321878
"AxiomGT1_b03.calls"	"10:01"	82	0.009300215492798
"AxiomGT1_b03.calls"	"11:01"	322	0.0365203583985483
"AxiomGT1_b03.calls"	"11:03"	4	0.000453669048429171
"AxiomGT1_b03.calls"	"11:04"	25	0.00283543155268232
"AxiomGT1_b03.calls"	"12:01"	233	0.0264262220709992
"AxiomGT1_b03.calls"	"13:01"	826	0.0936826585006238
"AxiomGT1_b03.calls"	"13:02"	301	0.0341385958942951
"AxiomGT1_b03.calls"	"13:03"	40	0.00453669048429171
"AxiomGT1_b03.calls"	"14:01"	9	0.00102075535896563
"AxiomGT1_b03.calls"	"14:02"	37	0.00419643869796983
"AxiomGT1_b03.calls"	"14:54"	95	0.0107746399001928
"AxiomGT1_b03.calls"	"15:01"	1221	0.138482477033004
"AxiomGT1_b03.calls"	"15:02"	6	0.000680503572643756
"AxiomGT1_b03.calls"	"16:01"	78	0.00884654644436883
